WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC FORM	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANSLATION SYNONYM1	TRANSLATION SYNONYM2	TRANSLATION SYNONYM3	TRANSLATION SYNONYM4	TRANSLATION SYNONIM 5	TRANSLATION SYNONIM 6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
antes que				AdvLc		4			ovdalgo		Adv								Prefiero no seguir hablando antes que verte llorar.	Mun oiddán heaitit hállamis, ovdalgo du oaidnit čierrumin.												
antiguo	M,F			A		1			boaris		A		s: dološ																			
antipatía	F			N		1			vuostemiella		N		s: baháudnu																			
antipatía	F			N		2			háluhisvuohta		N		s: lusttuhisvuohta																			
antipático	M,F			A		1			vuostemielalaš		A		s: baháudnolaš																			
antipático	M,F			A		2			lusttoheapmi		A		s: stukkis																			
anual	M/F			A		1			jahkásaš		A																					
anunciar			1b	V		1			almmuhit		V	TV							anunciar una noticia	almmuhit ođđasa	El cartel anuncia un concierto.	Seaidnečálus almmuha konseartta.										
anunciar			1b	V		2			dieđihit		V	TV	s: mearkkašit	s: einnostit					Estos vientos anuncian lluvia.	Dát biekkat dieđihit arvvi.	Las golondrinas anuncian la primavera.	Beštorat dieđihit giđa.										
anunciarse			1b	V	anunciar	3			máinnustit		V	Prnl, ReflV							Ana se anuncia en el periódico para conseguir trabajo.	Ana máinnusta áviissas, vai barggu oažžu.												
anzuelo	M			N		1			vuogga		N		s: bastevuogga																			
apagar			1h	V		1			jáddadit		V	TV							apagar el fuego	jáddadit dola	apagar un incendio	jáddadit buollima	Apagar la tele.	Jáddadit TV.								
apagar			1h	V		2	Figuratiiva/Figurado		čáskadit		V	TV, UseAlso: Figuratiiva/Figurado							apagar el fuego	čáskadit dola	apagar la sed	goikku čáskadit										
apagar el fuego			1h	VLc		9			jáddadit dola		VLc	TV																				
apagar la sed			1h	VLc		4			goikku čáskadit		VLc	TV																				
apagarse			1h	V	apagar	3			jáddat		V	IV							La luz se apagó de pronto.	Báifáhkka čuovga játtai.												
apagarse			1h	V	apagar	4	Figuratiiva/Figurado		nohkat		V	IV							Mis temores se apagaron al verle.	Mu balut nohke go su oidnen.												
aparcamiento	M			N		1			bisánanbáiki		N		s: parkererenbáiki	s: biilla guođđinbáiki	s: biilla bisánanbáiki																	
aparcar			1g	V		1			párkeret		V	TV	s: guođđit biilavuojána																			
aparcar			1g	V		2	Figuratiiva/Figurado		maŋidit		V	TV							A causa de la crisis, han aparcado varios proyectos.	Heahtedili geažil leat sii maŋidan máŋga barggu.												
aparecer			2d	V		1			ihtit		V	IV	s: bohciidit						El sol apareció tras la colina.	Beaivi iđii várrevieltti duogábeale.	Los nombres de algunas ciudades españolas aparecen también en América Latina	Muhtun spánskka gávpotnamat ihtet maiddái Latiinna Ámerihkás										
aparecer			2d	V		2			almmustuvvat		V	IV							El libro aparecerá la semana que viene.	Girji galggašii almmustuvvat boahtte vahkus.												
aparecerse			2d	V		3			iđistit		VLc	Prnl, IV	s: ihtit fáhkkestaga						Cristina dice que se le apareció un fantasma.	Cristina muitala, ahte gobmi iđistii.												
aparente	M/F			A		1			navdojuvvon		A		s: eahpeduođalaš																			
aparente	M/F			A		2			heivvolaš		A		s: soahppevaš						Esa ropa es aparente para la ocasión.	Dát bivttas lea heivvolaš dilálašvuhtii.												
aparentemente				Adv		1			olgguldasat		Adv																					
apartamento	M			N		1			ásodat		N		s: lanjadat																			
apartamiento	M			N		1			earránaddan		N		s: sierraneapmi	s: spiehkkaseapmi																		
apartamiento	M			N		2			rátkkašeapmi		N																					
apartar			1a	V		1			čuoldit		V	TV																				
apartar			1a	V		2			rátkit		V	TV	s: sirret																			
apartar			1a	V		3			sildit		V	TV																				
apartarse			1a	V	apartar	4			spiehkastit		V	Prnl, ReflV							En ese viaje, me apartaba frecuentemente de la carretera prinicipal.	Dien mátkkis mun spiehkastin dávjá váldogeainnus.												
apartarse			1a	V	apartar	5			earránaddat		V	Prnl, IV	s: sierranahttit	s: sierranit																		
aparte	M,F			A		1			sierra		A		s: iehčanassii	s: máinnolmas					Beethoven es un nombre aparte en la historia de la música.	Beethoven lea musihkkahistorjjálaš máinnolmas namma.												
aparte				Adv		1			doaresbeallai		Adv		s: sierra						He dejado aparte ese jersey porque hay que lavarlo.	Lean bidján sierra dan báiddi, man galgá bassat.	La llamó aparte para decírselo.	Son gohčui su doaresbeallai, vai dasa muitala.										
aparte (de)				Adv		2			earret		Adv		s: almmá						El coste del proyecto es de 20000 euros, aparte (de) impuestos.	Prošeavtta haddi lea 20000 euro earret vearru.	El coste del proyecto es de 20000 euros, aparte (de) impuestos.	Prošeavtta haddi lea 20000 euro almmá vearu haga.										
apellido	M			N		1			sohkanamma		N		s: goargu						Escriba usted su nombre y dos apellidos.	Čále namat ja goappašiid sohkanamaid.												
apenas				Adv		1			illá		Adv		s: báljo						Apenas se oye.	Illá gullo.	Apenas se oye.	Ii báljo gullo.										
apenas				Adv		2			dušše		Adv								hace apenas un año	lea dušše jahki vássán dassá												
apenas				CC		1			aiddo go		CC		s: nu fargga go						Apenas llegó nos pusimos en marcha.	Aiddo go son bođii, de mii vázzáimet.												
apetecer			2d	V		1			geasuhit		V	TV							No apetece riquezas.	Ii geasut riggodat.												
apetecer			2d	V		2			sávvat		V	TV							Tenían todo cuanto podían apetecer.	Sis lei buot maid sáhtte sávvat.												
apetecer			2d	V		3			háliidit		V	TV, WObjPron							Me apetece un helado.	Háliidan lákcajieŋa.												
apetecer			2d	V		4			liikot		V	TV, WObjPron	s: eahccit						No me apetece.	Dasa in liiko.	No me apetece.	Dan in eahce.										
apetecer			2d	V		5			njálggistit		V	IV, 3per	s: geasuhit						La tarta apetece.	Gáhkku njálggista.	Apetecen unas vacaciones	Luomut geasuhit.										
aplastar			1a	V		1	Šaddu, biergu, dáigi		stežžet		V	TV	s: deakčut						aplastar con el tenedor	stežžet gáffaliin												
aplicar			1g	V		1			heivehit		V	TV	s: geavahit	s: atnit					Aplicó bien la teoría a la práctica.	Son vuohkkasit heivehii teoria praksisain.												
aplicar			1g	V		2			guoskkahit		V	TV																				
aplicarse			1g	V	aplicar	3			áŋggirdit		V	Prnl, IV	s: áŋgiruššat						Pedro se aplicó de tal manera a la natación, que llegó a ser campeón de España.	Pedro áŋggirdii nu ollu vuodjamii, ahte son gárttai Spania meašttirin.												
apoyar			1a	V		1			doarjut		V	TV, UseAlso: Figuratiiva/Figurado	s: doarjalit						Apoyar la cabeza en las manos.	Doarjut oaivvi gieđa vuostá.	Ha apoyado la rebelión de los indios.	Son lea dorjon indiánáriid veagalaš vuostálastima.										
apoyarse			1a	V	apoyar	2			mieigat		V	Prnl, IV, + en							Sin darse cuenta se apoyó en la caja.	Fuomáškeahttá son mieiggai kássii.												
apoyarse			1a	V	apoyar	3			mieigat vuostá		VLc	Prnl, IV, + contra		s: mieigat					Está prohibido apoyarse contra la pared.	Ii leat lohpi mieigat seainni vuostá.	Está prohibido apoyarse contra la pared.	Lea lobiheapmi mieigat seaidnái.										
apoyo	M			N		1			doarjja		N	UseAlso: Figuratiiva/Figurado	s: duoddi						Usa el bastón como apoyo.	Son geavaha soappi doarjjan.	El presidente tiene el apoyo de la cámara.	Presideanttas lea parlameantta doarjja.										
apreciado	M,F			A		1			árvvoštallan		A		s: meroštallan																			
apreciar			1b	V		1			bidjat hatti		VLc	TV	s: haddet																			
apreciar			1b	V		3	Figuratiiva/Figurado		árvvus atnit		VLc	TV	s: meroštallat						Lo que aprecio en ella es su sencillez.	Mun anán árvvusin su vuollegašvuođa.												
apreciarse			1b	V	apreciar	2			divrut		V	Prnl, IV, UseNor: Imp	s: goargŋut						El petróleo se ha apreciado mucho en los últimos meses.	Oljohaddi lea sakka gorgŋon maŋimuš mánuin.												
aprender			2a	V		1			oahppat		V	TV							aprender a nadar	oahppat vuodjat	Estudio para aprender.	Mun logan vai oahpan.										
aprenderse			2a	V	aprender	2	Bajil máhttit, bures máhttit		oahpásmuvvat		V	Prnl, UseTV							Se aprendieron bien el camino.	Sii oahpásmuvve geidnui.												
aprobar			1m	V		1			dohkkehit		V	TV							Los padres no aprobaban la boda.	Váhnemat eai dohkkehan náitaleami.												
aprobar			1m	V		2			ceavzit		V	TV	s: birget						Ha aprobado el examen a la primera.	Son lea ceavzán vuosttaš geardde geahččalusas.												
aprovechar			1a	V		1			ávkkástallat		V	TV																				
aprovechar			1a	V		4			ávkkuhit		V	IV, 3per	s: ábuhit						El estudio apenas aprovecha si no hay práctica.	Lohkan illá ávkkuha, jus ii leat praksis.												
aprovechar la ocasión			1a	VLc		2			gáhttet		V	IV																				
aprovecharse			1a	V	aprovechar	3			ávkkástallat		V	Prnl, UseTV, + de	s: geavahit ávkki	s: ávkki váldit					Se han aprovechado de nosotros.	Sii leat ávkkástallan mis.												
aproximadamente				Adv		1			sullii		Adv		s: sulaid	s: birrasii	s: nuo	s: nie			Mide aproximadamente dos metros.	Dat fátmmasta sullii guokte mehtera.												
aproximar			1a	V		1			lagahit		V	TV							aproximar el coche a la pared	lagahit biilla seainni gurrii												
aproximarse			1a	V	aproximar	2			lahkonit		V	Prnl, IV	s: lahkonaddat						El avión se aproxima al aeropuerto.	Girdi lahkana girdišilljui.												
aproximarse			1a	V	aproximar	3	Figuratiiva/Figurado		lahkanit		V	Prnl, IV	s: lahkonit						Algunos comportamientos se aproximan a la locura.	Muhtun láhttenvuogit lahkanit gáiggesvuhtii.												
apunte	M			N		1			mearkkastus		N		s: mearkkašumiid	s: čálastus					tomar apuntes	čállit mearkkastusaid												
aquel	M,F			A		1			duot		Pron, A	Dem, Sg	s: dot	s: diet					Aquel hombre te mira.	Duot olmmoš geahččá dutnje.	El hombre que te mira es aquel.	Olmmoš, gii geahččá dutnje, lea duot.	Aquella mujer te mira.	Duot nisson geahččá dutnje.	La mujer que te mira es aquella.	Nisson, gii geahččá dutnje, lea duot.						
aquel	M,F			Pron		1			duot		Pron, A	Dem, Sg	s: dot	s: diet					Aquel hombre te mira.	Duot olmmoš geahččá dutnje.	El hombre que te mira es aquel.	Olmmoš, gii geahččá dutnje, lea duot.	Aquella mujer te mira.	Duot nisson geahččá dutnje.	La mujer que te mira es aquella.	Nisson, gii geahččá dutnje, lea duot.						
aquellos	M,F			A		1			duot		Pron, A	Dem, Pl	s: dot	s: diet					Aquellos hombres te miran.	Duot olbmot gehččet dutnje.	Los hombres que te miran son aquellos.	Olbmot, geat gehččet dutnje, leat duot.	Aquellas mujeres te miran.	Duot nissonat gehččet dutnje.	Las mujeres que te miran son aquellas.	Nissonat, geat geahččet dutnje, leat duot.						
aquellos	M,F			Pron		1			duot		Pron, A	Dem, Pl	s: dot	s: diet					Aquellos hombres te miran.	Duot olbmot gehččet dutnje.	Los hombres que te miran son aquellos.	Olbmot, geat gehččet dutnje, leat duot.	Aquellas mujeres te miran.	Duot nissonat gehččet dutnje.	Las mujeres que te miran son aquellas.	Nissonat, geat geahččet dutnje, leat duot.						
aquí				Adv		1			dáppe		Adv		s: das	s: dás					Aquí en Madrid vive mucha gente.	Dáppe Madridas ásset orrot ollu olbmot.												
aquí dentro				AdvLc		2			das		AdvLc		s: dan siste						Aquí dentro hay mucha gente.	Das leat ollu olbmot.												
aquiescencia	F			N		1			mieđáhus		N		s: lohpi																			
arándano	M			N		1		myrtillus nigra, vaccinium myrtillus	sarrit		N																					
arándano rojo	M			NLc		2		vaccinium vitis idae	jokŋa		N																					
árbol	M			N		1			muorra		N																					
ardilla	F			N		1		sciurus vulgaris	oarri		N																					
área	F			N		1			areala		N	Sg: el +	s: viiddus	s: viidodat	s: duolbbussisdoallu																	
arenque	M			N		1		clupea harengus	sallit		N		s: sildi																			
arma	F			N		1			vearju		N	Sg: el +																				
arma blanca	F			NLc		2			ávjovearju		N																					
arma de fuego	F			NLc		3			báhčinvearju		N		s: bissu																			
arma de fuego	F			NLc		13			báhčinvearju		N		s: bážán	s: bissu																		
armado	M,F			A		1			vearjuduvvon		A								Algunos ejércitos usan niños armados para la guerra.	Muhtun soahteveagat geavahit soahtevearjuduvvon mánáid.												
armar			1a	V		1			vearjudit		V	TV	s: verjet																			
armar			1a	V		2			ráhkkanahttit		V	TV	s: rustet						armar un barco	ráhkkanahttit guorbmefatnasa												
armar jaleo		s: armar bulla	1a	VLc		3			riidalit		V	IV	s: bávkit	s: ruodjat	s: šlápmat																	
armario	M			N		1			skáhppa		N		s: skábe	s: skáhppe																		
armarse			1a	V	armar	4			vearjudit		V	Prnl, ReflV	s: verjet iežas																			
armarse de paciencia			1a	VLc	armar	6			gierddahallat		V	Prnl, ReflV																				
armarse de valor			1a	VLc	armar	5			jálosmuvvat		V	Prnl, ReflV																				
armiño	M			N		1		mustela erminea	buoidda		N																					
armonía	F			N		1	Musihkka/Música		harmonia		N																					
armonía	F			N		2	Figuratiiva/Figurado		soabalašvuohta		N		s: oktiiheiven	s: áddehallan	s: harmonia																	
armonioso	M,F			A		1			heivvolaš		A		s: soabalaš	s: harmonalaš																		
arquitectura	F			N		1			arkitektuvra		N		s: huksehusdieđa	s: huksehushábmen	s: huksendáidda																	
arrastrar			1a	V		1			geasehit		V	TV	s: rundit	s: geassit (maŋis)	s: doalvut																	
arrastrarse			1a	V	arrastrar	2			beahkit		VLc	Prnl, IV	s: njoammut						Los soldados se arrastraron sigilosamente.	Soalddáhat behke čihkosii.												
arreglar			1a	V		1			divvut		V	TV	s: njulget	s: ordnet					El mecánico no puede arreglar el coche.	Mekanihkkár ii sáhte divvut biilla.	El carpintero ya ha arreglado la mesa.	Veažirgiehta lea juo divvon beavddi.										
arreglar			1a	V		2			lágidit		V	TV	s: ordnet						Tu secretario nos ha arreglado una cita para mañana.	Du čálli lea lágidan munnuide deaivvadeami ihtážii.												
arreglar			1a	V		3			čorget		V	TV	s: buhtistit						¿Puedes arreglar la habitación?	Sáhtát go (don) čorget lanja?												
arreglarse			1a	V	arreglar	4			gárvodit		V	Prnl, ReflV	s: bivttastit						Ya me he arreglado para la ceremonia.	Lean juo gárvodan messui.												
arreglarse			1a	V	arreglar	5			čiŋadit		V	Prnl, ReflV							Me arreglo y salimos para la cena de Navidad.	Mun čiŋadan ja de mii vuolgit juovlabeavdái.												
arreglárselas			1a	VLc	arreglar	6	Go ressurssat leat vátnát		birget		V	IV							Creo que me las arreglo con estos cinco euros.	Jáhkán, ahte (mun) birgen dieinna viđain euroin.												
arriba				Adv		1	Stáhtalaš/Estático, Go báiki lea luonddu báiki: várri, johka, Etc		badjin		Adv		s: bajábealde						Arriba no hay viento.	Badjin lea goalki.	Vive arriba.	Son orru doppe badjin.	Está arriba.	Son lea doppe badjin.	Está arriba.	Son lea doppe bajábealde.						
arriba				Adv		2	Stáhtalaš/Estático, Go objeakta lea čielgasit čujuhuvvon		badjin		Adv		s: bajábealde						Dame esos libros que están arriba.	Atte munnje dieid girjjiid, mat leat badjin.												
arriba				Adv		3	Dynámalaš/Dinámico		bajás		Adv		s: badjelebbui						Cuando llegué arriba, me dio dolor de cabeza.	Go (mun) ollejin bajás, de ožžon oaivebákčasa.												
arroz	M			N		1			riisa		N																					
arrugar			1h	V		1			máhccut		V	TV							arrugar un papel	báhpára máhccut												
arrugarse			1h	V	arrugar	2			máhccašuvvat		V	PassV, Imp, 3per	s: juoibmašuvvat	s: joaibmašuvvat					El pantalón se arrugó en la lavadora.	Buvssat máhccašuvve bassaladdanmášiinnas.												
arte	M			N		1			dáidda		N																					
artículo	M			N		1			čálus		N		s: artihkkal																			
artículo	M			N		2	Juridihkka/Jurídico		paragráffa		N																					
artículo	M			N		3	Gávppašeapmi/Comercio		gálvu		N		s: dávvir																			
artículo	M			N		5	Giella-oahppa/Gramática: cealkaga oassi, mii čujuha man viiddisin sáhttá dulkut substantiivva mearkkašumi		artihkkal		N																					
artículo de lujo	M			NLc		4	Gávppašeapmi/Comercio		luksusgálvu		N		s: leaiccadangálvu	s: badjelmearálaš dávvir																		
artículo determinado	M			NLc		3	Giella-oahppa/Gramática		mearriduvvon artihkkal		NLc																					
artificial	M/F			A		1			goanstadahkkon		A		s: goansta-	s: dahko-					una flor artificial	goanstarássi												
artista	M/F			N		1			dáiddár		N		v: dáidár																			
artístico	M,F			A		1			dáiddalaš		A								objeto artístico	dáiddalaš dávvir												
asado	M,F			A		1			bassojuvvon		A		s: gordojuvvon						chuletas asadas	bassojuvvon čielgečaskát												
asado	M			N		1			bassojuvvon biergu		NLc		s: gordojuvvon biergu						asado de cordero	bassojuvvon lábbábiergu												
asado	M			N		2	Argentina		bassojuvvon gusačoarbealli		NLc																					
asaltar			1a	V		1			fallehit		V	TV	s: rohkkáhit	s: rievidit					Asaltaron una aldea apartada.	Sii fallehedje gili boaittobeali.	asaltar un banco	rievidit báŋkku										
asaltar			1a	V		2	Figuratiiva/Figurado: iđista, boahtá fáhkka eahpádus, dovdu, buohcu, jápmu		bohciidit		V	TV, WObjPron	s: fallehit						De pronto me asaltaron muchas dudas.	Fáhkka mus bohciidedje ollu eahpádusat.	Le asaltó una grave enfermedad.	Lossa buozanvuohta su fallehii.										
asar			1a	V		1			bassit		V	TV	s: goardit	s: biđđit	s: steiket				Asan carne al aire libre.	Sii basset bierggu olgun.												
asarse			1a	V	asar	2	Figuratiiva/Figurado, beaivvi, lieggasa		goarddašit		V	Prnl, IV	s: goardit	s: návddašit					En agosto nos asamos de calor.	Borgemánus mii goarddašat beaivvi.												
ascendente	M/F	v: ascendiente		A		1			guoská dasa mii badjána, loktana, dulvá, Etc		Pfs								El camino va en sentido ascendente.	Geaidnu manná bajásguvlui.	El agua va en sentido ascendente.	Dulvá.	La marea es ascendente.	Mearra ahcá.								
ascendente	M/F	v: ascendiente		N		2			geinnodatráigge		N								Cogeremos la ascendente de la montaña.	Mii gorgŋet várrái geinnodatráigge.												
ascendiente	M/F			N		1			máddu		N		s: máttar						Mis ascendientes fueron ricos.	Mu máttut ledje riggát.												
asegurar			1a	V		1			váfistit		V	TV	s: nannet	s: nanusmahttit					Han asegurado el tejado con vigas de hierro.	Sii leat nanusmahttán olgorobi ruovdebielkkuiguin.												
asegurar			1a	V		2			dearpat		V	TV							asegurar el cuadro con un clavo	dearpat gova spihkáriin												
asegurar			1a	V		3			sihkkarastit		V	TV	s: nannet	s: nanusmahttit					Te aseguro que es verdad.	Mun sihkkarasttán, ahte diet lea duohta.	Cuando se viaja en coche, hay que asegurar a los niños a los asientos.	Go vuoját biillain, de fertet sihkkarastit mánáid čohkkánsajiide.	El ejército ha asegurado las fronteras.	Soahteveahka lea sihkkarastán riikkarájáid.								
asegurar			1a	V		4			dáhkidit		V	TV							asegurar una finca	dáhkidit dálu	asegurar el coche	dáhkidit biilla										
asegurarse			1a	V	asegurar	5			sihkkarastit		V	Prnl, TV	s: dáhkidit						El Mallorca se ha asegurado una plaza en la liga europea.	Mallorca (spábbačiekčanjoavku) lea sihkkarastán Eurohpaliga saji.												
asegurarse			1a	V	asegurar	6			sihkkarastit		V	Prnl, UseTV, + de que							Antes de hablar, nos aseguramos de que lo que vamos a decir es cierto.	Ovdalgo hupmat, de mii áigut sihkkarastit, ahte dan maid mii áigut muitalit, lea čáhcejeahkki.												
asesinar			1a	V		1			goddit		V	TV	s: heakkahuhttit	s: luottahuhttit					El dictador mandó asesinar a sus adversarios.	Diktáhtor gohčui goddit vuostálastiiddis.												
asesinato	M			N		1			olmmošgoddin		N		s: sorbmi																			
asesino	M,F			N		1			goddi		N		s: olmmošgoddi	s: sorbmejeaddji																		
asesino a sueldo	M,F			NLc		2			láigo-vuođŋŋagoddi		N		s: bálkáhuvvon olmmošgoddi																			
asesorar			1a	V		1			neavvut		V	TV	s: ráđi addit						asesorar a la dirección	neavvut stivrra	asesorar a la dirección	addit ráđi stivrii										
asesorar			1a	V		2			bagadit		V	TV	s: bagadallat						Me asesoró un médico especialista.	Mu bagadii spesialistadoavttir.												
asesorarse			1a	V		3			oažžut ráđi		VLc	Prnl, IV	s: ráđđádallat						asesorarse con un letrado	oažžut ráđi advokáhtas	asesorarse con un letrado	ráđđádallat advokáhtain										
así				Adv		1			nu		Adv		s: dieinna vugiin	s: dien vuogi mielde	s: nie fal				Así el trabajo se hace mejor.	Dienna vugiin bargu buorebut dahkkojuvvo.												
así así				AdvLc		5			gal dat dohkke		AdvLc								— ¿Cómo te encuentras? — Así, así.	— Mo manná? — Gal dat dohkke.												
así como				AdvLc		2			nu mo		AdvLc								Así como lo dices, no lo entiendo.	Nu mo (don) dán dajat, de in ádde dan.												
así y así				AdvLc		4			ná ja ná		AdvLc		s: nu ja ná	s: nie ja nie																		
asiento	M			N		1			čohkkánsadji		N								En la consulta no había ni un asiento.	Doaktárkántuvrras ii ge lean oppa čohkkánsadji.												
asistencia	F			N		1			veahkki		N		s: doarjja						Es obligado prestar asistencia a los mayores.	Lea bággu addit veahki boarrásiidda.												
asistencia	F			N		2			bálvalus		N								asistencia médica	dearvvasvuođabálvalus												
asistencia	F			N		3			oassálastin		N		s: oassádallan						La asistencia a esa conferencia es voluntaria.	Dán konferánssa oassálastin lea eaktodáhtolaš.												
asistencia	F			N		4			oasseváldiid lohku		NLc	Span: Collc, Saam: Pl	s: oasselastiid lohku						La asistencia a la conferencia fue escasa.	Konferánssa oasseváldiid lohku lei hárvelohkosaš.												
asociar			1b	V		1			ovttastahttit		V	TV	s: ovttastit	s: bidjat oktii	s: náitit				Nuestra compañía asocia a trabajadores de muchos países.	Min fitnodat ovttastahttá máŋgga riikka bargi.												
asociar			1b	V		2			čatnat oktii		VLc	TV	s: goallostit						En mi tesis no he asociado esas dos ideas.	Nákkosgirjjistan in leat čatnan oktii dán guokte jurdaga.												
asociarse			1b	V	asociar	3			searvat		V	Prnl, RecV	s: vuođđodit						Se han asociado para formar una empresa.	Sii leat searvan ásahit fitnodaga.												
asociarse con			1b	VLc	asociar	4			searvat		V	Prnl, ReflV							No se asocia con delincuentes.	Son ii searvva vearredahkkiiguin.												
aspecto	M			N		1			neahku		N	UseNor: + de	s: gálga	s: gárvi					Es un chico listo, pero su aspecto es de tonto.	Son lea gávvilis gánda, muhto su neahku orru (leamen) colppasin.												
aspecto	M			N		2			bealli		N		s: oassi	s: sárggus					El problema tiene diferentes aspectos.	Váttisvuođas leat máŋggabealat sárgosat.												
asunto	M			N		1			ášši		N								un asunto de vida o muerte	hirbmat dehálaš ášši												
atacar			1g	V		1			fallehit		V	TV	s: rohkkáhit						El virus de la gripe ataca en otoño.	Njoammonuorvvodávda falleha čakčat.												
atacar			1g	V		2	Figuratiiva/Figurado		álggahit		V	TV							atacar una tarea	álggahit barggu												
ataque al corazón	M			NLc		2			váibmodohppehallan		N		s: váibmodohppehat																			
atardecer	M			N		1			veaigi		N																					
atardecer			2d	V		1			veiggodit		V	IV	s: sevnnjodit	s: gerpmodit					En invierno atardece más temprano que en verano.	Dálvet veiggoda árabut go geasset.												
atasco	M			N		1			árru		N		s: hehttehus						Hay un atasco en la tubería.	Lea oari árru.												
atasco	M			N		2	Biillat		johtalushehttehus		N																					
atención	F			N		1			áicilvuohta		N		s: várvešvuohta						En clase hay que escuchar con atención.	Oahppolanjas ferte guldalit áicilvuođain.												
atender			2g	V		1			doahttalit		V	TV, + a	s: čuovvut						Esos niños no atienden a las explicaciones de la maestra.	Dát mánát eai doahttal oahpaheaddji čilgehusaid.												
atender			2g	V		2			vuhtii váldit		VLc	TV, + a							Debo atender a todos los detalles.	Ferten vuhtii váldit buot bienaid.												
atender			2g	V		3			buorrindohkkehit		V	TV, + (a)	s: dohkkehit						El rector atendió (a) las exigencias de los estudiantes.	Rektora buorrindohkkehii studeanttaid gáibádusaid.												
atender			2g	V		4			bálvalit		V	TV, + a	s: reŋgot	s: biigot	s: fuolahit				Me gusta atender al público.	Mun liikon bálvalit olbmuid.	Tu amigo nos atendió muy bien.	Du ustit fuolahii min hui bures.										
atentado	M			N		1			attentáhta		N		s: olmmošgoddin	s: álbmotgoddin	s: olmmošgoddingeahččalus				El atentado de Nueva York ocurrió el once de septiembre.	New Yorka olmmošgoddin dáhpáhuvai čakčamánu oktanuppelogát beaivvi.												
atentamente				Adv		1			dárkilit		Adv		s: dárkket						Le miró atentamente y guardó silencio.	Son geahčai sutnje dárkilit ja de jávohuvai.												
atentamente				Adv		2	Reivves		ustitlaš dearvuođat		NLc								(Le saluda) atentamente.	Ustitlaš dearvuođat.												
atracar			1g	V		1			rievidit		V	TV							atracar un banco	rievidit báŋkku												
atracar			1g	V		2	Fanas		čatnat		V	TV	s: darvvihit	s: giddet					atracar el barco a puerto	čatnat fatnasa hámmanii												
atracarse			1g	V	atracar	3			baggat		V	Prnl, UseTV	v: spaggat	s: badjelmeare gallánit					Se ha atracado de tarta.	Son lea baggan sohkargáhkus.												
atraco	M			N		1			rievvu		N		s: falleheapmi																			
atrás				Adv		1	Stáhtalaš/Estático		duogábealde		Adv, Po	UseAlso: por +							Tienes las llaves atrás.	Dus leat čoavdagat iežat duogábealde.	La entrada del edificio está por atrás.	Viesu boađáldat lea duogábealde.										
atrás				Adv		2	Stáhtalaš/Estático, Lanjas dahjege báikkis		siskelepmosis		Adv, Po								Los zapatos están atrás en el armario.	Skuovat leat skáhpa siskelepmosis.	No oigo a los niños sentados atrás.	In gula mánáid, geat čohkohallet lanja siskelepmosis.										
atrás		s: tiempo atrás		Adv		9			vássánáiggi		Adv	Saam: UseAlw: Gen	s: ovddeš áiggi	s: mannan áiggi					Buscando atrás (en el tiempo), entendemos mejor las cosas.	Go mii roggat vássánáiggis, de mii ipmirdit buorebut áššiid.	Tiempo atrás, en la tierra hubo dinosaurios.	Vássánáiggis gávdnojedje dinosaurat eatnama alde.										
atrasado	M,F			A	atrasar	1			bázahallan		A								España es un país atrasado en tecnología.	Spania lea bázahallanriika teknologálaččat.												
atrasar			1a	V		1			maŋidit		V	TV							En primavera hay que atrasar la hora.	Giđđat ferte maŋidit diimmu.												
atrasarse		s: retrasarse	1a	V	atrasar	2			maŋŋonit		V	Prnl, IV	s: ádjánit						Me estoy atrasando con el trabajo.	Mun maŋŋonan bargguin.	El autobús se atrasa un par de horas.	Busse ádjána moadde diimma.										
atravesar			1k	V		1			bidjat rastá		VLc	TV	s: coggat	s: nahkehit					Si atravesamos ese tronco, será más fácil cruzar el río.	Jus mii bidjat dán hirssa joga rastá, de livčče álkkibut rasttidit joga nuppebeallái.												
atravesar			1k	V		2			bohkat		V	TV	s: ráigat	s: sággat					Atraviesa la tela con la aguja.	Sákka gođđosa náluin.												
atravesar			1k	V		3			rasttidit		V	TV	s: rasttildit	s: mannat badjel					atravesar una calle	mannat gáhta badjel	atravesar una calle	rasttildit gáhta										
atravesar			1k	V		4			vásihit		V	TV							atravesar un período difícil	vásihit váttes áiggi												
atravesarse			1k	V	atravesar	5			spiehkastit		V	Prnl, IV	s: mohkastit	s: mannat doarrás					El coche se atravesó de pronto en la carretera.	Biila spiehkastii fáhkka geainnus.												
atravesarse			1k	V	atravesar	6	Figuratiiva/Figurado		mannat ruossalassii		VLc	Prnl, IV							En la conversación, se atravesó un asunto inesperado.	Ášši ságastallamis manai fáhkka ruossalassii.												
atravesarse			1k	V	atravesar	7	Figuratiiva/Figurado		ášši váttásmuvvá ja de gártá vuollánit go gártá oalát veadjemeahtumin		Pfs	PassV, Imp, 3per, WObjPron							Empecé a estudiar matemáticas, pero se me han atravesado.	Lohkagohten matematihka, muhto de váttásmuvai ja de oalát vuollánin.												
