WORD	GENDER	LEMMA SYNONYM	INFLECTION	WORD CLASS	BASIC WORD	TRANSLATION NUMBER	RESTRICTION	SCIENTIFIC NAME	SAAMI	SAAMI TRANSLATION CASE OR FORM	WORD CLASS	EXPLANATION	TRANS SYNON1	TRANS SYNON2	TRANS SYNON3	TRANS SYNON4	TRANS SYNON5	TRANS SYNON6	SPANISH_EX_1	SAAMI_EX_1	SPANISH_EX_2	SAAMI_EX_2	SPANISH_EX_3	SAAMI_EX_3	SPANISH_EX_4	SAAMI_EX_4	SPANISH_EX_5	SAAMI_EX_5	SPANISH_EX_6	SAAMI_EX_6	SPANISH_EX_7	SAAMI_EX_7
conectarse			1a	V		4			ovttastahttit		VLc	Prnl, IV, + a, con							conectarse a internet	ovttastahttit internehttii												
conectarse			1a	V		5			fidnet oktavuođa		VLc	Prnl, IV, + a, con																				
conectarse			1a	V		6			laktit		V	Prnl, IV, + a, con																				
conectarse			1a	V		7			goallostit		V	Prnl, IV, + a, con																				
conectarse			1a	V		8			lávket		V	Prnl, IV, + a, con							¡Conéctate con la realidad!	Lávke duohtavuhtii!												
conferencia	F			N		1	Exposición oral		logaldallan		N																					
dar una conferencia			1r	VLc		1			logaldallat		V	TV																				
confesar			1k	V		1			dovddastit		V	TV																				
confesar			1k	V		2	Sacramento		rihpat		V	TV																				
confesar			1k	V		3	Sacramento		suttudovddastit		V	TV																				
confesarse			1k	V		4			dovddastit iežas		VLc	Prnl. ReflV																				
confesarse			1k	V		5	Sacramento		rihpat		V	Prnl, IV																				
confesarse			1k	V		6	Sacramento		suttudovddastit		V	Prnl, IV																				
confesión	F			N		1			dovddastus		N																					
confesión	F			N		2	Sacramento		rihppa		N																					
confesión	F			N		3	Sacramento		suttudovddastus		N																					
confirmar			1a	V		1			duođaštit		V	TV							confirmar un hecho	duođaštit ášši	Esto confirmó mis dudas.	Dát duođaštii mu eahpádusaid.										
confirmar			1a	V		2			nannet		V	TV							confirmar una sentencia	nannet duomu duođaštusaiguin	¿Confirmaste la cena para viernes?	Nannet go don gaskabeaivvi diŋgoma?										
confirmar			1a	V		3	Dar la Confirmación		konfirmeret		V	TV							El pastor confirma a los niños.	Báhppa konfirmere mánáid.												
confirmarse			1a	V		4	Tomar la Confirmación		konfirmerejuvvot		V	IV, PassV																				
confirmarse			1a	V		5	Tomar la Confirmación		beassat rihpaide		VLc	IV, PassV																				
conflicto	M			N		1			soahpameahttunvuohta		N																					
conflicto	M			N		2			soahpatmeahttunvuohta		N																					
conflicto	M			N		3			vuostálasvuohta		N																					
conflicto	M			N		4			riidu		N																					
conflicto	M			N		5			gižžu		N																					
conflicto	M			N		6			konflikta		N																					
conflicto	M			N		7	La situación		riidodoaibma		N																					
conflicto	M			N		8	La situación		riidodilli		N																					
confundir			3a	V		1	Crear confusión		moivet		V	TV																				
confundir			3a	V		2	Unas cosas con otras		seaguhit		V	TV																				
confundir			3a	V		3	Unas cosas con otras		sehkket		V	TV																				
confundirse			3a	V		4	Entrar en confusión		moivašuvvat		V	Prnl, IV																				
confundirse			3a	V		5	Mezclarse		sehkket		V	Prnl, IV																				
confundirse			3a	V		6	Equivocarse, cometer un error		dahkat boastudaga		V	Prnl, IV																				
confundirse			3a	V		7	Equivocarse, cometer un error		feilet		V	Prnl, IV																				
confundirse			3a	V		8	Equivocarse, cometer un error		meattihit		V	Prnl, IV																				
confusión	F			N		1			moivi		N																					
confuso	M,F			A		1			moivvas		A																					
congelador	M			N		1			galmmihanskáhppa		N																					
congelar			2r	V		1			galmmihit		V																					
congelar			2r	V		2			čoaskudit		V																					
congelar			2r	V		3			jiekŋudit		V																					
conjunción	F			N		1	Gramática		konjunkšuvdna		N																					
conllevar			1a	V		1			mielddisbuktit		V																					
conmigo	M/F			Pron		1			mielddán		Pron	Sg1							¿Vienes conmigo?	Boađát go mielddán?												
conmigo	M/F			Pron		2			muinna		Pron	Sg1							Es muy generoso conmigo.	Son lea hui árvvas muinna.												
conmigo	M/F			Pron		3			iežan mielde		PronLc	Sg1							Me llevo a los niños conmigo.	Mun válddán mánáid iežan mielde.												
conmigo	M/F			Pron		4			iežan fárrui		PronLc	Sg1																				
conmigo	M/F			Pron		5			mu mielde		PronLc	Sg1							Joavnna viene conmigo.	Joavnna boahtá mu mielde												
conmigo	M/F			Pron		6			mu fárrui		PronLc	Sg1																				
conmigo	M/F			Pron		7			iežainan		Pron	ReflPron, Com, Sg1							Hablo conmigo mismo.	Háleštan iežainan.												
conocer			2d	V		1			dovdat		V	TV							No te conozco.	In dovdda du.	El perro conoce a su dueño.	Beana dovdá iežas isida.										
conocer			2d	V		2			diehtit		V	TV							Ya conoces las reglas.	Don dieđát juo njuolggadusaid.												
conocer			2d	V		3			dovddiidit		V	TV																				
conocer			2d	V		4			máhttit		V	TV																				
conocer			2d	V		5	Hablar lenguas		hállat		V	TV							Conoce tres lenguas.	Dat hállá golbma giela.												
conocer			2d	V		6	Hablar lenguas		hupmat		V	TV																				
conocer			2d	V		7	En el primer encuentro		oahpásmuvvat		V	TV							La conocí en 1976.	Suinna oahpásmuvven 1976.	Se conocieron en Londres.	Soai oahpásmuvaiga Londonis.										
conocerse			2d	V		8			dovdat		V	Prnl, RecV							No nos conocemos	Mii eat dovdda guđet guoibmámet.												
conocerse			2d	V		9	Muy bien, de memoria, de corrido		máhttit bajil		VLc	Prnl, UseTV							Me conozco la ley de memoria.	Mun máhtán lága bajil.												
conocido	M,F			A		1			dovddus		A								Es el escritor más conocido de América Latina.	Son lea Latiinna Amerihká dovdoseamos čálli.												
conocido	M,F			A		2			beakkán		A																					
conocido	M,F			A		3			beakkálmas		A																					
conocido	M,F			A		4			máinnolmas		A																					
conocido	M,F			A		5			gululmas		A																					
conocido	M,F			A		6			gullon		A																					
conocido	M,F			N, A		7			oahpes olmmoš		NLc								No es mi pariente, sino un conocido.	Son ii leat mu fuolki, baicce oahpes olmmoš.												
conocimiento	M			N		1			diehtu		N																					
conocimiento	M			N		2			máhttu		N								Tiene algunos conocimientos de Latín.	Sus lea veahá latiinnagiela máhttu.												
conocimiento	M			N		3			-máhttu		N	Saam: Cmpnd							El conocimiento profundo de una lengua es costoso.	Čiekŋalis giellamáhttu lea lossat.												
conocimiento	M			N		4	Comprensión		áddejupmi		N								El conocimiento de la naturaleza es complejo.	Luonddu áddejupmi lea máŋggabealat.												
conocimiento	M			N		5	Comprensión		ipmárdus		N																					
conocimiento	M			N		6	La facultad		diđolašvuohta		N								perder el conocimiento	massit diđolašvuođa												
conocimiento	M			N		7	La facultad		oamedovdu		N																					
perder el conocimiento			2g	VLc		1			mannat galmmasin		VLc	TV																				
perder el conocimiento			2g	VLc		2			meanahuvvat		VLc	TV																				
perder el conocimiento			2g	VLc		3			galmmastuvvat		VLc	TV																				
poner en conocimiento			2r	VLc		1			dieđihit		V	TV							Poner los hechos en conocimiento del juez.	Dieđihit daguid duopmárii.												
poner en conocimiento			2r	VLc		2			almmuhit		V	TV																				
poner en conocimiento			2r	VLc		3			bajásčuvget		V	TV																				
poner en conocimiento			2r	VLc		4			čuvget		V	TV																				
tener conocimiento			2l	VLc		1			Usar: Habitivo			+ de							El juez no tiene conocimiento de los hechos.	Duopmáris ii leat daguid diehtu.												
conquistar			1a	V		1			vuollástit		V	TV							conquistar un país	vuollástit riikka												
conquistar			1a	V		2			vuoluštit		V	TV																				
conquistar			1a	V		3			váldit		V	TV																				
conquistar			1a	V		4	Seducir		geasuhit		V	TV							conquistar con palabras	geasuhit sániiguin	Maite conquistó mi corazón.	Maite geasuhii mu váimmu.										
conquistar			1a	V		5	Seducir		mieldduhit		V	TV																				
conquistar			1a	V		6	Seducir		čuovuhit		V	TV																				
consecuencia	F			N		1			konsekveansa		N																					
consecuencia	F			N		2			boađus		N																					
en consecuencia				AdvLc, CC		1			ja danin		CC								No he visto nunca fantasmas. En consecuencia, los fantasmas no existen.	Mun in lean goassege oaidnán gopmiid ja danin dajan ahte gobmit eai gávdno.												
en consecuencia				AdvLc, CC		2			ja nu		CC																					
tener consecuencias			2l	VLc		1			dagahit bohtosiid		VLc	IV																				
conseguir			3l, 3d	V		1			oažžut		V	TV							¿Has conseguido el dinero?	Leat go don ožžon ruđa?	No puedo conseguir que lo haga.	In sáhte su oažžut dahkat dan.										
conseguir			3l, 3d	V		2			nagadit		V	TV							Consiguió tener una manada.	Son nagadii cegget ealu.												
conseguir			3l, 3d	V		3			nagodit		V	TV																				
conseguir			3l, 3d	V		4			háhkat		V	TV							Consiguieron una buena casa.	Sii háhke buorre viesu.												
conseguir			3l, 3d	V		5			skáhppot		V	TV																				
conseguir			3l, 3d	V		6			fidnet		V	TV																				
conseguir			3l, 3d	V		7			lihkostuvvat		V	TV							Consiguió huir.	Son lihkostuvai báhtarit.	Consiguió sobrevivir.	Son lihkostuvai ceavzit.										
conseguir			3l, 3d	V		8			vuotnastuvvat		V	TV																				
conseguir			3l, 3d	V		9			beassat		V	TV							Consiguió sobrevivir.	Son beasai heggii.												
consejo	M			N		1			neavva		N																					
consejo	M			N		2			ráva																							
consejo	M			N		3			ráđđi																							
consejo	M			N		4	Comisión		lávdegoddi		N								consejo de asesores lingüísticos	giellalávdegoddi												
consejo	M			N		5	Comisión		ráđđi		N								Consejo Europeo	Europaráđđi												
considerar			1a	V		1			vuhtiiváldit		V	TV							Hay que considerar que pueden surgir problemas.	Ferte vuhtiiváldit ahte soitet bohciidit váttisvuođat.												
considerar			1a	V		2			dovdat		V	TV							Considera una ofensa que no abriera el regalo inmediatamente.	Son dovdá loavkašumi, go ii rahpan attáldaga dakkaviđe.												
considerarse			1a	V		3			geahčadit iežas		VLc	Prnl, ReflV							Me considero un hombre sensato.	Mun geahčadan iežan vitmes olmmožin.												
consigna	F			N		1	Militar		gohččumat		N	Saam: Pl																				
consigna	F			N		2	Política, Dentro del partido		gohččun		N																					
consigna	F			N		3	En una estación de tren, etc.		mátkedávvirvurkkohat		N								Pueden dejar las maletas en consigna.	Sáhttibehtet guođđit koaffariid mátkedávvirvurkkohahkii.												
consigna	F			N		4	En una estación de tren, etc.		mátkedávvirrádju		N																					
consignar			1a	V		1	En una estación de tren, etc.		vurket		V	TV							consignar el equipaje	vurket mátkedávvira												
consignar			1a	V		2	Ruhta / Dinero		bidjat		V	TV							consignar una partida en un presupuesto	bidjat ruđa bušeahttasuorgái												
consignar			1a	V		3	Ruhta / Dinero		coggat		V	TV																				
consignar			1a	V		4	Ruhta / Dinero		nahkehit		V	TV																				
consignar			1a	V		5			mearridit báikki gosa juoidá bidjá		Pfs																					
consignar			1a	V		6			čállit formálalaččat		VLc	TV							consignar un asunto	čállit ášši formálalaččat												
consigo	M/F			Pron		1			mielddis		Pron	Sg3							Lleva consigo el ordenador.	Son váldá dihtora mielddis.												
consigo	M/F			Pron		2			mielddiska		Pron	Du3							Llevan consigo el ordenador (ellos dos).	Soai váldiba dihtora mielddiska.												
consigo	M/F			Pron		3			mielddiset		Pron	Pl3							Llevan consigo el ordenador.	Sii váldet dihtora mielddiset.												
consolar			1m	V		1			jeđđet		V	TV																				
consolarse			1m	V		2			jeđđet iežas		VLc	Prnl, ReflV							María se consuela leyendo las cartas de su padre.	María jeđđe iežas áhči reivviid logadettiin.												
constantemente				Adv		1			ovtto		Adv								La temperatura media aumenta constantemente.	Gaskamearálaš temperatuvra lassána ovtto.												
constantemente				Adv		2			bissovaččat		Adv																					
constantemente				Adv		3			čađat		Adv																					
constantemente				Adv		4			duojážassii		Adv																					
constantemente				Adv		5			ijatbeaivvi		Adv																					
constar			1a	V		1			leat		V	IV							En la lista consta tu nombre.	Listtus lea du namma.												
constar			1a	V		2			gávdnot		V	IV																				
constar			1a	V		3	Beavdegirjjis / En acta		vurkejuvvot		V	IV							Pido al alcalde que sus palabras consten en el acta.	Bivddán sátnejođiheaddji, ahte su sánit vurkejuvvojit beavdegirjái.												
constar			1a	V		4	Beavdegirjjis / En acta		čállojuvvot		V	IV																				
constar			1a	V		5			leat sihkkar		VLc	WObjPron							Me consta que ha dicho la verdad.	Lean sihkkar, ahte son lean muitalan duohtavuođa.												
constar			1a	V		6			leat vissis		VLc	WObjPron																				
constar			1a	V		7			Usar: Locativo o Habitivo			IV, + de							El diccionario consta de cinco partes.	Sátnegirjjis leat vihtta oasi.												
constar			1a	V		8			gávdnot		V	IV, + de							La máquina consta de cinco piezas.	Mašiinnas gávdnojit vihtta oasi.												
constar			1a	V		9			sisttisdoallat		V	IV, + de							La máquina consta de cinco piezas.	Mašiidna sisttisdoallá vihta oasi.												
hacer constar			2s	VLc		1			nannet		V	TV							El secretario lo hace constar en acta.	Čálli nanne dan beavdegirjjis.												
que conste que			1a	Lc		1			ferte leat čielggas ahte		Pfs	IV							Que conste que no lo sabía.	Ferte leat čielggas ahte mun in diehtán dan.												
construcción	F			N		1			huksehus		N																					
construcción	F			N		2			ráhkadus		N								En la tesis falta la construcción de una teoría.	Nákkosgirjjis váilu teoriija ráhkadus.												
construcción	F			N		3	Sector laboral		huksenossodat		N								Mario trabaja en la construcción.	Mario bargá huksenossodagas.												
construcción	F			N		4	Sector laboral		huksensektor		N																					
en vías de construcción				AdvLc		1			leat huksejuvvomin		VLc								La estación de tren está en vías de construcción.	Togastašuvdna lea huksejuvvomin.												
en vías de construcción				AdvLc		2			leat ráhkaduvvomin		VLc																					
construir			3g	V		1			hukset		V	TV																				
construir			3g	V		2			ráhkadit		V	TV																				
construir			3g	V		3	Artesanalmente, con materiales naturales		duddjot		V	TV																				
consumir			3a	V		1			golahit		V	TV							Este coche consume mucha gasolina.	Dát biila golaha olu bensiinna.												
consumir			3a	V		2			loaktit		V	TV							consumir tiempo y dinero	loaktit áiggi ja ruđa												
consumir			3a	V		3			leaicidit		V	TV																				
consumir			3a	V		4			duvhllidit		V	TV																				
consumir			3a	V		5	Destruir		bilidit		V	TV							El fuego consumió la casa.	Dolla bilidii viesu.												
consumir			3a	V		6	Destruir		billistit		V	TV																				
consumir			3a	V		7	Figuratiiva		šlundudit		V	TV							Las penas le consumen.	Váivvit šlundudit su.												
consumir			3a	V		8	Figuratiiva		dorvvuhuhttit		V	TV																				
consumirse			3a	V		9	Figuratiiva		šlundut		V	Prnl, IV, + de							Se está consumiendo de celos.	Son lea šlundumin balahahkesvuođas.												
consumirse			3a	V		10	Figuratiiva		loavkašuvvat		V	Prnl, IV, + de																				
consumo	M			N		1			golahus		N																					
consumo	M			N		2			gollu																							
consumo	M			N		3			mannu										consumo de leña	muorramannu												
consumo	M			N		4			johtu										consumo de leña	muorrajohtu												
consumo	M			N		5			geavaheapmi		N																					
contaminación	F			N		1			nuoskkideapmi		N																					
contaminación	F			N		2			duolvvideapmi		N																					
contaminación	F			N		3			durddideapmi		N																					
contaminar			1a	V		1			nuoskkidit		V	TV							contaminar el agua	nuoskkidit čázi												
contaminar			1a	V		2			duolvvidit		V	TV																				
contaminar			1a	V		3			durddidit		V	TV																				
contaminarse			1a	V		4			nuoskkiduvvot		V	Prnl, IV, + de, con																				
contaminarse			1a	V		5			duolvviduvvot		V	Prnl, IV, + de, con							Nos hemos contaminado con el agua.	Mii leat duolvviduvvon čázis.												
contaminarse			1a	V		6			durdašuvvat		V	Prnl, IV, + de, con							Nos hemos contaminado de radiactividad.	Mii leat durdašuvvan rádioaktivitehtas.												
contar			1m	V		1	Relatar		muitalit		V	TV							¡Cuéntamelo todo!	Muital munnje buot!	contar un chiste	muitalit suohtasmáidnasa	tengo mucho que contar	mus lea olu muitalit								
contar			1m	V		2	Relatar		máinnastit		V	TV																				
contar			1m	V		3	Números		lohkat		V	TV							contar dinero	lohkat ruđa												
contar			1m	V		4			leat dehálaš		VLc	IV							Para aprobar, cuentan los ejercicios de clase.	Vai galggašii ceavzit, de lea dehálaš bargat luohkanlanja bargobihtáid.												
contar			1m	V		5			leat relevánta		VLc	IV																				
contar			1m	V		6			vuhtiiváldit		V	IV, + con							Hay que contar con todas las circunstancias.	Ferte vuhtiiváldit buot dilálašvuođaid.	Para tomar la decisión, el ministerio debería contar con los ayuntamientos.	Go mearriduvvo, de berrešii departemeanta vuhtiiváldá suohkaniid.										
contar			1m	V		7			váldit vuhtii		VLc	IV, + con																				
contar			1m	V		8			luohttit		V	IV, + con, Saam: + Ill							Cuento contigo para ese trabajo.	Mun luohtán dutnje dán barggus.												
contarse			1m	V		9			rehkenuššojuvvot		V	PassV, + por, a							Los parados se cuentan por millones.	Bargguheamit rehkenuššojuvvojit miljovdnan.												
contarse con los dedos de la mano				Lc		1			leat njárbon		VLc	PassV							Ahí los árboles se cuentan con los dedos de la mano.	Doppe muorat leat njárbon.												
contarse con los dedos de la mano				Lc		2			leat vátnon		VLc	PassV																				
contarse con los dedos de la mano				Lc		3			leat hárvon		VLc	PassV																				
contenedor	M			N		1			kontainer		N																					
contenedor	M			N		2			fievrrádusseaillus		N																					
contener			2l	V		1			sisttisdoallat		V	TV							El diccionario contiene treinta mil voces.	Sátnegirji sisttisdoallá golbmalogiduhát sáni.												
contener			2l	V		2			bissehit		V	TV							contener las lágrimas	bissehit gatnjaliid												
contenerse			2l	V		3			stáđásmit		V	Prnl, ReflV							Me enfadé mucho, pero me contuve.	Suhtten issorasat, muhto stáđásmin.												
contenerse			2l	V		4			stađđat		V	Prnl, ReflV																				
contenerse			2l	V		5			steađđát		V	Prnl, ReflV																				
contenerse			2l	V		6			ráđđet iežas badjel		VLc	Prnl, ReflV																				
contenido	M,F			A		1			mášolaš		A																					
contenido	M,F			A		2			stađđil		A																					
contenido	M			N		1			sisdoallu		N																					
contento	M,F			A		1	Alegre		ilolaš		A																					
contento	M,F			A		2	Satisfecho		duđavaš		A																					
contento	M,F			A		3	Satisfecho		duhtavaš		A																					
darse por contento			1r	VLc		1			leat duđavaš		VLc	Prnl, ReflV							Ese perro se da por contento con unas migajas.	Beana lea duđavaš láibemoaluin.												
darse por contento			1r	VLc		2			duhtat		VLc	Prnl, ReflV																				
contigo				Pron		1			du mielde		PronLc	Sg2							¿Voy contigo?	Boađán go du mielde?												
contigo				Pron		2			du fárrui		PronLc	Sg2							Siempre viaja contigo.	Álo vuolgá du fárrui.												
contigo				Pron		3			iežat mielde		PronLc	Sg2							Te llevas a los niños contigo.	Don válddát mánáid iežat mielde.												
contigo				Pron		4			iežat fárrui		PronLc	Sg2																				
contigo				Pron		5			duinna		Pron, Com								Iré contigo.	Áiggun duinna vuolgit.												
contigo				Pron		6			mielde		Po	Sg2							¿Llevas el ordenador contigo?	Fievrridatgo dihtora mielde?												
contigo				Pron		7			iežainat		Pron, Com	ReflPron, Sg2							Hablas contigo misma.	Don hálat iežainat.												
continuamente				Adv		1			čađat		Adv																					
continuamente				Adv		2			oppa áigge		AdvLc																					
continuar			1e	V		1			joatkit		V	TV							Los parlamentarios continuaron el debate.	Parlamentarihkkárat jotke ságastallama.												
continuar			1e	V		2			joatkit		V	IV							El debate continúa en el parlamento.	Ságastallan joatká Stuorradikkis.	Continúa lloviendo.	Dat joatká arvimis.	El parque continúa hasta la carretera.	Šattogárdi joatká váldogeidnui.	Mi hermana continúa en Madrid.	Mu oabbá joatká Madridas.						
continuar			1e	V		3			bissut		V	IV																				
continuar			1e	V		4			mannat viidáseappot		VLc	IV																				
contra				Pr		1			vuostá		Po								El ejército se alzó contra el gobierno.	Suodjalus čuožžilii ráđđehusa vuostá.												
contra				Pr		2	Dirección		guvlui		Po								Los renos van contra la dirección del viento.	Bohccot mannet biekka guvlui.												
contra				Pr		3	Posición		guvlui		Po								El coronel levantó a las tropas contra San Martín.	Obersta oldii soahteveagaid San Martina guvlui.												
contra				Pr		4			Usar: Acusativo										Luchó contra los enemigos.	Son vuostálasttii fámolaččat vašálaččaid.												
contra				Pr		5			Usar: Ilativo										Sin darse cuenta se apoyó contra la caja.	Fuomáškeahttá son mieiggai kássii.	chocar contra un muro	beaškkehit muvrii	La gente reaccionó contra la subida de precios.	Olbmot vuostálaste haddebajideapmái.								
contra				Pr		6			Usar: Locativo										Me protejo contra los ladrones.	Mun suddjen suollagiin.	Me protejo la cara contra el frío.	Mun suddjen ámadaju buollašis.										
contradictorio	M,F			A		1			vuostálasti		A								Expuso dos ideas contradictorias.	Son ovdanbuvttii guokte vuostálasti jurdaga.												
contradictorio	M,F			A		2			vuostáičuožžu		A																					
contraseña	F			N		1			čoavddasátni		N																					
contrastar			1a	V		1			bidjat vuostálagaid		VLc	TV							contrastar información	bidjat vuostálagaid dieđu												
contrastar			1a	V		2			bidjat ruossalassii		VLc	TV																				
contrastar			1a	V		3			kontrasteret		V	IV							El negro y el amarillo contrastan mucho.	Čáhppat ja fiskat kontrasterejit ollu.												
contrastar			1a	V		4			leat vuostálagaid		VLc	IV							El negro y el amarillo contrastan.	Čáhppat ja fiskat leat ivnnit mat leat vuostálagaid.												
contrastar			1a	V		5			leat vuostálas-		VLc	IV							El negro y el amarillo contrastan.	Čáhppat ja fiskat leat vuostálasivnnit.												
contratar			1a	V		1			virgádit		V	TV							Para el año que viene queremos contratar a dos personas más.	Boahtte jahkái háliidat mii virgádit velá guokte olbmo.												
contratar			2a	V		2			virgái bidjat		VLc	TV																				
contratar temporalmente			1a	VLc		1			čállit gaskaboddosaš bargošiehtadusa		Pfs								Han contratado a varios jóvenes temporalmente.	Sii leat čállán gaskaboddosaš bargošiehtadusa máŋggain nuorain.												
contrato	M			N		1			šiehtadus		N								contrato de alquiler	láigošiehtadus	contrato de compraventa	gávpešiehtadus										
contrato	M			N		2			kontrákta		N																					
control	M			N		1			kontrolla		N																					
control	M			N		2			dárkkástus		N																					
control	M			N		3			geahčču		N																					
control remoto	M			NLc		1			kontrolla-apparáhta		N																					
control remoto	M			NLc		2			dárkkistanrusttet		N																					
control remoto	M			NLc		3			gáiddusstivren		N																					
control remoto	M			NLc		4			gáidosstivren		N																					
estar bajo control			1p	VLc		1			leat jaskkodan		VLc	IV							La situación está bajo control.	Dilli lea jaskkodan.												
tener bajo control			2l	VLc		1			bearráigeahččat		V	TV							Tengo la situación bajo control.	Mun bearráigeahčan dili.												
tener bajo control			2l	VLc		2			dárkkistit		V	TV																				
tener bajo control			2l	VLc		3			kontrolleret		V	TV																				
tener bajo control			2l	VLc		4			leat hálddus		VLc	TV							Tengo la situación bajo control.	Dilli lea mu hálddus.												
controlar			1a	V		1			dárkkistit		V	TV							El maestro controla el aprendizaje de sus alumnos.	Oahpaheaddji dárkkista ohppiidis oahpu.												
controlar			1a	V		2			gozihit		V	TV																				
controlar			1a	V		3			kontrolleret		V	TV																				
controlar			1a	V		4			bearráigeahččat		V	TV							Debe controlar sus nervios.	Son ferte bearráigeahččat nearvvaidis.	Lo más difícil es controlar a los niños.	Mánáid lea váddámus bearráigeahččat.										
controlarse			1a	V		5			bearráigeahččat iežas		VLc	Prnl, ReflV																				
controlarse			1a	V		6			bearráigeahččat		V	Prnl, RecV							Los políticos y los votantes se controlan los unos a los otros.	Politihkkárat ja jienasteaddjit bearráigehččet guhtet guimmiideaset.												
convencer			2b	V		1			hálahit		V	TV							Lo convencí para que viniera.	Mun hálahin su boahtit.												
convencer			2b	V		2			humahit		V	TV																				
convencer			2b	V		3			jáhkihit		V	TV							convencer a un incrédulo	jáhkihit eahpeoskkolaš olbmui												
convencer			2b	V		4			rievdadit		V	TV, WObjPron							Ese móvil no me convence.	Dát mobiila ii rievdat mu.												
convencer			2b	V		5			nuppástuhttit		V	TV, WObjPron																				
convencerse			2b	V		6			dorvvastit		V	Prnl, ReflV							Con los nuevos datos se convenció de la nueva teoría.	Ođđa dieđuiguin son dorvvastii ođđa teoriijii.												
convencerse			2b	V		7			čuovvolit		V	Prnl, ReflV																				
convenio	M			N		1			šiehtadus		N								convenio laboral	bargošiehtadus												
convertir			3i	V		1			nuppástuhttit		V	TV, + en																				
convertir			3i	V		2			rievdadit		V	TV, + en																				
convertir			3i	V		3	Divisas		cuvket		V	TV, + en							convertir dólares en euros	cuvket dolláris euroi												
convertirse			3i	V		4			rievdadit		V	Prnl, IV, + en							La manzana se convirtió en oro.	Eppela rievdadii gollin.												
convertirse			3i	V		5			molsut		V	Prnl, IV, + en							Pedro se convirtió en miembro del partido.	Pedro molssui bellodat miellahttuvuođa.												
convertirse			3i	V		6			lonuhit		V	Prnl, IV, + en																				
convertirse			3i	V		7	Religión		jorgalit		V	Prnl, IV, + a							Mustafa se convirtió al Cristianismo.	Mustafa jorgalii risttalašvuođa oskui.												
convivir			3a	V		1			eallit ovttas		VLc	IV							Hay que convivir en paz.	Ferte eallit ráfálaččat ovttas.	Hay que convivir en paz.	Ferte eallit muosis ovttas.										
convivir			3a	V		2			ássat		V	IV, + con, Saam: + Com							El verano pasado conviví por primera vez con mi amigo.	Mannan geasi mun ássen ovttas vuosttaš háve ustibiinnán.												
convivir			3a	V		3			ealašit		V	IV, + con, Saam: + Com																				
copa	F			N		1			láse		N																					
copa	F			N		2			glássa		N								tomar unas copas	juhkat moadde glása												
copa	F			N		3	Trofeo		cearki		N								copa del mundo	máilmmigilvvu cearki												
copa	F			N		4	Trofeo		pokála		N																					
copa	F			N		5	Del árbol		giera		N																					
corazón	M			N		1			váibmu		N																					
corbata	F			N		1			šlipsa		N																					
corbata	F			N		2			čuolmmus		N																					
cordera	F			N		1			njiŋŋelas láppis		NLc																					
cordero	M,F			N		1		ovis aries	láppis		N																					
cordero	M			N		2			varris láppis		NLc																					
cordillera	F			N		1			gáisáráidu		N								La gran cordillera de los Andes cruza el país de norte a sur.	Stuorra Andes-gáisáráidu rasttida riikka davvin lulás.												
cordillera	F			N		2			alla várreráidu		NLc																					
cornamenta	F			N		1			čoarvi		N								cornamenta de reno	bohccočoarvi												
corneja	F			N		1		corvus corone	garjá		N																					
corneja	F			N		2		corvus corone	gáranas		N																					
corneja	F			N		3		corvus corone	vuoražas		N																					
corneja	F			N		4		corvus corone	vuorččis		N																					
cornudo	M,F			A		1			čoarvái		A								El reno es un animal cornudo.	Boazu lea čoarvás ealli.												
cornudo	M			N		1			beahtahallan isit		Pfs																					
corona	F			N		1			ruvdna		N																					
corona	F			N		2			kruvdna		N																					
corona	F			N		3	Moneda		ruvdno		N																					
coronar			1a	V		1			kruvnnidit		V	TV							El obispo coronó al rey.	Bisma kruvnnidii gonagassan.												
coronar			1a	V		2	Figuratiiva		juksat		V	TV							El grupo coronó el Everest.	Joavku juvssai Everestii.												
coronar			1a	V		3	Figuratiiva		joksat		V	TV																				
coronar			1a	V		4	Figuratiiva		ollet		V	TV																				
coronar			1a	V		5	Figuratiiva		joavdat		V	TV																				
coronarse			1a	V		6			vihahit		V	Prnl, IV							Os habéis coronado campeones	Lehpet vihahan vuoitin.												
coronarse			1a	V		7			kruvdnot		V	Prnl, IV																				
coronel	M			N		1			obersta		N																					
corrección	F			N		1	De errores, erratas, etc., el proceso		divvunbargu		N																					
corrección	F			N		2	De errores, erratas, etc., el resultado		divvun		N																					
corrección	F			N		3	En el comportamiento, en la actitud		buorremenolašvuohta		N																					
corrección	F			N		4	En el comportamiento, en la actitud		deasttalašvuohta		N																					
corrección	F			N		5	En el comportamiento, en la actitud		vuogasvuohta		N																					
corregir			3c, 3l	V		1	Errores, erratas, etc.		divvut		V	TV																				
corregir			3c, 3l	V		2	Reparar		njulget		V	TV																				
corregir			3c, 3l	V		3	Ajustar, poner en orden		justeret		V	TV																				
correo	M			N		1			boasta		N																					
correo	M			N		2			poasta		N																					
correo aéreo	M			NLc		1			girdiboasta		N																					
correo electrónico	M			NLc		1			šleađgaboasta		N																					
correo electrónico	M			NLc		2			emaila		N																					
correr			2a	V		1			viehkat		V	IV							Todos los días corro tres kilómetros.	Juohke beaivvi mun viegan golbma kilomehtera.												
correr			2a	V		2	Rápidamente		viehkalit		V	IV							Corrió rápidamente a la casa de su abuela.	Son viehkalii áhku vissui.												
